Asset ID,Road ID,Road Name,Road Authority,Rural/Urban,Road Classification,Road Priority,status,start,end,Locality,length_m,width_m,Area (m2),Condition Ratings,Year of Construction,Comment,OBJECTID (GIS),Road Number (GIS),Asset ID  (GIS),gis_status
261,9977,Tyringham Road 14,BSC,Rural,Regional,1,Sealed,11050,12060,Dorrigo,1010,6.1,6161,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 15,BSC,Rural,Regional,1,Sealed,12060,12850,Dorrigo,790,5.9,4661,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 16,BSC,Rural,Regional,1,Sealed,12850,13480,Dorrigo,630,5.9,3717,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 17,BSC,Rural,Regional,1,Sealed,13480,14290,Dorrigo,810,6.1,4941,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 18,BSC,Rural,Regional,1,Sealed,14290,15220,Dorrigo,930,6.1,5673,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 19,BSC,Rural,Regional,1,Sealed,15220,16050,Dorrigo,830,6,4980,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 20,BSC,Rural,Regional,1,Sealed,16050,16850,Dorrigo,800,6,4800,3,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 21,BSC,Rural,Regional,1,Sealed,16850,17540,Dorrigo,690,6.5,4485,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 22,BSC,Rural,Regional,1,Sealed,17540,17970,Dorrigo,430,7.5,3225,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 23,BSC,Rural,Regional,1,Sealed,17970,18540,Dorrigo,570,7.4,4218,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 24,BSC,Rural,Regional,1,Sealed,18540,19140,Dorrigo,600,6.8,4080,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 25,BSC,Rural,Regional,1,Sealed,19140,19797.46154,Dorrigo,657.4615408,6.1,4010.515399,2,1987,,486,9977,100331,Mutiple Chainage
106,9978,Tyringham Street 01,BSC,Urban,Local,53,Sealed,0,160,Dorrigo,160,5.3,848,2,2009,,248,9978,100332,Mutiple Chainage
106,9978,Tyringham Street 02,BSC,Urban,Local,53,Sealed,160,446.8113131,Dorrigo,286.8113131,5.3,1520.099959,2,2009,,248,9978,100332,Mutiple Chainage
82,10592,Unnamed Lane A02 01,BSC,Urban,Local,101,Sealed,0,180,Dorrigo,180,4.5,810,4,1976,,323,10592,100423,Mutiple Chainage
82,10592,Unnamed Lane A02 02,BSC,Urban,Local,101,Sealed,180,385.173774,Dorrigo,205.173774,4.5,923.2819828,4,1976,,323,10592,100423,Mutiple Chainage
453,9535,Unnamed Road (James Hickey Close) 01,BSC,Rural,Local,120,Sealed,0,50,Darkwood,50,4,200,4,#N/A,,10,9535,100013,Mutiple Chainage
453,9535,Unnamed Road (James Hickey Close) 02,BSC,Rural,Local,120,Unsealed,50,187.8406162,Darkwood,137.8406162,4,551.3624648,4,#N/A,,10,9535,100013,Mutiple Chainage
119,14885,Unnamed Road C41 01,BSC,Rural,Local,112,Sealed,0,90,Raleigh,90,3.9,351,2,2012,,512,14885,100493,Mutiple Chainage
119,14885,Unnamed Road C41 02,BSC,Rural,Local,112,Unsealed,90,149.1848907,Raleigh,59.18489071,3.9,230.8210738,4,2012,,512,14885,100493,Mutiple Chainage
163,14885,Unnamed Road C42,BSC,Rural,Local,120,Unsealed,0,155.0524617,Raleigh,155.0524617,3.8,589.1993544,4,2012,,512,14885,100493,Mutiple Chainage
460,9981,Valery Road 01,BSC,Rural,Local,20,Sealed,0,1960,Raleigh,1960,3.6,7056,1,2019,,487,9981,100335,Mutiple Chainage
